sales,comp_price,income,price,shelve_loc,city,local
8.55,1232,111,1288,Bad,No,Yes
10.64,1428,87,980,Medium,Yes,Yes
7.7,1652,71,1246,Medium,No,Yes
4.43,1876,48,2030,Medium,Yes,Yes
9.14,1876,67,1260,Bad,Yes,No
8.01,1582,100,1106,Bad,Yes,Yes
7.52,1624,72,1792,Good,Yes,No
11.62,2114,83,1946,Good,Yes,Yes
4.42,1526,36,1316,Bad,Yes,Yes
2.23,1554,25,1694,Bad,No,No
8.47,1750,103,1568,Medium,No,No
8.7,2100,84,1876,Medium,Yes,No
11.7,1834,67,1764,Good,No,Yes
6.56,1638,42,1554,Medium,Yes,Yes
7.95,1792,66,1666,Medium,No,No
5.33,1610,22,1442,Medium,No,No
4.81,1358,46,1498,Medium,Yes,Yes
4.53,1596,113,1750,Medium,Yes,No
8.86,2030,30,1456,Medium,Yes,No
8.39,1610,97,1176,Bad,Yes,Yes
5.58,1876,25,2072,Medium,Yes,Yes
9.48,2058,42,1848,Good,No,Yes
7.45,2254,82,1806,Bad,Yes,Yes
12.49,1708,77,1778,Good,No,Yes
4.88,1694,47,1498,Bad,No,Yes
4.11,1582,69,1484,Medium,No,Yes
6.2,1792,93,1652,Medium,Yes,No
5.3,1582,22,1358,Medium,No,No
5.07,1722,91,1344,Bad,Yes,Yes
4.62,1694,96,1932,Medium,Yes,No
5.55,1456,100,1358,Medium,Yes,Yes
0.16,1428,33,1946,Medium,No,No
8.55,1876,107,1512,Medium,Yes,No
3.47,1498,79,1442,Bad,Yes,No
8.98,1610,65,1260,Medium,No,No
9,1792,62,1624,Medium,Yes,Yes
6.62,1848,118,2114,Medium,Yes,Yes
6.67,1624,99,1750,Good,Yes,Yes
6.01,1834,29,1778,Bad,Yes,Yes
9.31,1708,87,1484,Medium,Yes,Yes
8.54,1946,35,1806,Medium,Yes,No
5.08,1890,75,1792,Medium,No,No
8.8,2030,53,1666,Medium,Yes,No
7.57,1568,88,1386,Medium,Yes,Yes
7.37,1820,94,1792,Medium,Yes,Yes
6.87,1792,105,1834,Medium,Yes,Yes
11.67,1750,89,1218,Bad,Yes,Yes
6.88,1666,100,1512,Medium,Yes,Yes
8.19,1778,103,2170,Good,No,Yes
8.87,1834,113,1680,Good,Yes,No
9.34,1246,78,686,Medium,No,No
11.27,2142,68,1862,Good,Yes,Yes
6.52,1750,48,1624,Medium,Yes,Yes
4.96,1862,100,1764,Bad,Yes,Yes
4.47,2002,120,2058,Bad,No,Yes
8.41,1316,84,1078,Medium,Yes,Yes
6.5,1512,69,1316,Medium,Yes,No
9.54,1750,87,1904,Good,Yes,Yes
7.62,1848,98,1358,Bad,Yes,Yes
3.67,1848,31,1834,Medium,Yes,No
6.44,1344,94,1680,Medium,No,Yes
5.17,1834,75,1680,Bad,No,No
6.52,1792,42,1652,Medium,Yes,No
10.27,1750,103,1526,Medium,Yes,Yes
12.3,2044,62,1316,Medium,No,Yes
6.03,1862,60,1806,Medium,Yes,Yes
6.53,1960,42,1834,Bad,Yes,No
7.44,1736,84,1456,Medium,Yes,No
0.53,1708,88,2226,Bad,Yes,Yes
9.09,1848,68,1722,Good,No,No
8.77,2016,63,1638,Medium,Yes,Yes
3.9,1596,83,1834,Bad,Yes,No
10.51,1960,54,1666,Good,No,Yes
7.56,1540,119,1358,Medium,No,Yes
11.48,1694,120,1218,Medium,Yes,Yes
10.49,1708,84,1596,Good,No,Yes
10.77,1554,58,1442,Good,No,Yes
7.64,1792,78,1792,Good,No,No
5.93,2100,36,2100,Medium,No,Yes
6.89,1806,69,1540,Medium,No,Yes
7.71,1372,72,966,Medium,Yes,No
7.49,2044,34,2198,Good,Yes,No
10.21,1694,58,1260,Medium,No,Yes
12.53,1988,90,1568,Good,No,Yes
9.32,1666,60,980,Bad,No,No
4.67,1554,28,1554,Medium,No,No
2.93,2002,21,2240,Medium,No,Yes
3.63,1708,74,2086,Medium,Yes,No
5.68,1820,64,1484,Bad,No,No
8.22,2072,64,1974,Medium,No,Yes
0.37,2058,58,2674,Bad,Yes,Yes
6.71,1666,67,1918,Medium,Yes,Yes
6.71,1484,73,1302,Medium,Yes,No
7.3,1806,89,1638,Medium,Yes,No
11.48,1456,41,1078,Good,Yes,Yes
8.01,1792,39,1652,Medium,Yes,Yes
12.49,1302,106,770,Medium,Yes,Yes
9.03,1456,102,1540,Good,Yes,Yes
6.38,1890,91,1792,Medium,Yes,Yes
0,1946,24,2590,Medium,No,No
7.54,1610,89,1708,Medium,Yes,No
5.61,1932,107,2156,Medium,No,Yes
10.48,1932,72,1316,Medium,Yes,Yes
10.66,1456,71,1134,Medium,No,Yes
7.78,2016,25,1624,Medium,Yes,Yes
4.94,1918,112,2086,Bad,Yes,Yes
7.43,1694,83,1274,Medium,Yes,No
4.74,1918,60,1960,Bad,Yes,No
5.32,1652,74,1428,Medium,Yes,Yes
9.95,1848,33,1358,Medium,No,Yes
10.07,1820,100,1498,Medium,Yes,Yes
8.68,1680,51,1204,Medium,No,No
6.03,1638,32,1344,Bad,Yes,No
8.07,1624,37,1260,Medium,Yes,No
12.11,1652,117,1456,Medium,No,Yes
8.79,1820,37,1414,Medium,No,Yes
6.67,2184,42,2422,Good,Yes,Yes
7.56,1512,26,1302,Medium,No,No
13.28,1946,70,1344,Good,Yes,Yes
7.23,1568,98,1792,Medium,Yes,Yes
4.19,1638,93,1568,Bad,Yes,Yes
4.1,1820,28,1862,Bad,Yes,Yes
2.52,1736,61,1932,Medium,Yes,No
3.62,1568,80,1792,Medium,Yes,Yes
6.42,1708,88,1764,Medium,Yes,Yes
5.56,2016,92,2044,Medium,No,No
5.94,1932,83,1876,Medium,Yes,No
4.1,1694,78,1820,Bad,No,Yes
2.05,1834,82,2198,Bad,Yes,No
8.74,2170,80,1736,Medium,Yes,No
5.68,1582,22,1848,Medium,Yes,No
4.97,2268,67,2240,Medium,Yes,Yes
8.19,1554,105,1358,Bad,No,No
7.78,1204,54,896,Bad,Yes,No
3.02,1372,21,1260,Bad,No,Yes
4.36,1750,41,1722,Bad,No,Yes
9.39,1638,118,1680,Medium,Yes,Yes
12.04,2030,69,1470,Medium,Yes,Yes
8.23,2086,84,1946,Medium,Yes,Yes
4.83,1610,115,1498,Medium,Yes,Yes
2.34,1624,83,2016,Bad,Yes,Yes
5.73,1974,33,2016,Medium,Yes,No
4.34,1484,44,1554,Medium,No,No
9.7,1932,61,1680,Medium,Yes,Yes
10.62,1624,79,1624,Good,Yes,Yes
10.59,1834,120,1736,Medium,Yes,Yes
6.43,1736,44,1498,Medium,Yes,No
7.49,1904,119,2030,Medium,Yes,Yes
3.45,1540,45,1750,Medium,Yes,Yes
4.1,1876,82,1974,Medium,No,No
6.68,1498,25,1148,Bad,Yes,No
7.8,1666,33,1708,Good,Yes,No
8.69,1582,64,1414,Medium,Yes,Yes
5.4,2086,73,2282,Bad,No,Yes
11.19,1372,104,1008,Medium,No,No
5.16,1610,60,1596,Bad,No,No
8.09,1848,69,1708,Medium,No,No
13.14,1918,80,1470,Good,Yes,Yes
8.65,1722,76,1680,Medium,No,Yes
9.43,1610,62,1806,Good,No,Yes
5.53,1764,32,1848,Medium,Yes,Yes
9.32,1974,34,1512,Medium,Yes,Yes
9.62,2114,28,1890,Medium,Yes,Yes
7.36,1694,24,1862,Good,Yes,No
3.89,1722,105,1652,Bad,Yes,Yes
10.31,2226,80,1694,Medium,Yes,No
12.01,1904,63,1316,Medium,Yes,No
4.68,1736,46,1890,Medium,No,No
7.82,1736,25,1540,Medium,Yes,Yes
8.78,1820,30,1400,Medium,Yes,No
10,1596,43,1232,Good,No,Yes
6.9,1680,56,1260,Bad,Yes,Yes
5.04,1722,114,2114,Bad,Yes,No
5.36,1554,52,1414,Medium,Yes,Yes
5.05,1750,67,1638,Bad,Yes,No
9.16,1918,105,2184,Good,Yes,Yes
3.72,1946,111,1848,Bad,Yes,Yes
8.31,1862,97,1638,Medium,Yes,No
5.64,1736,24,1708,Medium,No,Yes
9.58,1512,104,1806,Good,Yes,Yes
7.71,1722,81,1134,Bad,Yes,Yes
4.2,2058,40,2016,Medium,Yes,No
8.67,1750,62,1568,Medium,Yes,Yes
3.47,1512,38,1134,Bad,No,No
5.12,1722,36,1400,Bad,No,Yes
7.67,1806,117,1414,Bad,Yes,Yes
5.71,1694,42,1652,Medium,Yes,Yes
6.37,1680,77,1848,Medium,Yes,Yes
7.77,1624,26,1610,Medium,Yes,Yes
6.95,1792,29,2226,Good,Yes,Yes
5.31,1820,35,1806,Bad,Yes,Yes
9.1,1792,93,1568,Good,No,Yes
5.83,1876,82,1568,Bad,No,Yes
6.53,1722,57,1470,Medium,Yes,No
5.01,2226,69,2324,Medium,Yes,No
11.99,1666,26,1246,Good,Yes,No
4.55,1554,56,1540,Medium,Yes,No
12.98,1582,33,882,Good,Yes,No
10.04,1624,106,1204,Medium,Yes,Yes
7.22,1890,93,1666,Medium,Yes,Yes
6.67,1498,119,1848,Medium,Yes,Yes
6.93,1890,69,1820,Medium,Yes,Yes
7.8,1904,48,1750,Medium,Yes,Yes
7.22,1596,113,2114,Good,No,Yes
3.42,1974,57,2212,Medium,Yes,Yes
2.86,1694,86,2030,Bad,Yes,Yes
11.19,1708,69,1470,Good,No,Yes
7.74,2100,96,2156,Good,Yes,No
5.36,1890,110,1638,Medium,No,No
6.97,1484,46,1344,Bad,No,No
7.6,2044,26,1834,Medium,Yes,Yes
7.53,1638,118,1582,Medium,No,Yes
6.88,1330,44,1008,Bad,Yes,Yes
6.98,1624,40,1358,Medium,No,No
8.75,2002,77,2184,Medium,Yes,Yes
9.49,1498,111,1442,Medium,No,Yes
6.64,1652,70,1246,Bad,Yes,No
11.82,1582,66,1036,Good,Yes,Yes
11.28,1722,84,1246,Good,Yes,No
12.66,2072,76,1386,Good,Yes,Yes
4.21,1652,35,1918,Medium,No,Yes
8.21,1778,44,1722,Good,Yes,Yes
3.07,1652,83,1456,Bad,Yes,Yes
10.98,2072,63,1820,Good,Yes,No
9.4,1890,40,1344,Medium,No,Yes
8.57,1624,78,1386,Medium,Yes,Yes
7.41,1386,93,1218,Medium,Yes,Yes
5.28,1512,77,1540,Bad,Yes,Yes
10.01,1862,52,1386,Medium,Yes,Yes
11.93,1722,98,1876,Good,Yes,Yes
8.03,1610,29,1848,Medium,Yes,Yes
4.78,1834,32,1862,Medium,Yes,Yes
5.9,1932,92,1680,Bad,Yes,No
9.24,1764,80,1764,Medium,Yes,Yes
11.18,1834,111,1120,Bad,Yes,Yes
9.53,2450,65,2324,Medium,Yes,Yes
6.15,2044,68,1848,Bad,Yes,Yes
6.8,1918,117,1890,Bad,Yes,Yes
9.33,1442,81,756,Medium,Yes,No
7.72,1862,33,1806,Good,Yes,Yes
6.39,1834,21,2394,Good,Yes,Yes
15.63,1708,36,1008,Good,Yes,Yes
6.41,1988,30,1904,Good,No,No
10.08,1624,72,1820,Good,No,Yes
6.97,1778,45,1806,Medium,No,Yes
5.86,1904,70,2128,Medium,Yes,Yes
7.52,1722,39,1372,Medium,Yes,No
9.16,1960,50,1946,Good,Yes,Yes
10.36,1498,105,1442,Medium,Yes,Yes
2.66,1904,65,2100,Bad,Yes,Yes
11.7,2016,69,1456,Medium,Yes,Yes
4.69,1862,30,1708,Medium,Yes,No
6.23,1568,38,1456,Medium,Yes,Yes
3.15,1638,66,1554,Bad,Yes,Yes
11.27,1400,54,1246,Good,Yes,Yes
4.99,1708,59,1568,Bad,No,No
10.1,1890,63,1876,Medium,Yes,Yes
5.74,1484,33,1456,Medium,Yes,Yes
5.87,1904,60,2058,Medium,Yes,Yes
7.63,1302,117,1162,Bad,Yes,Yes
6.18,1680,70,1540,Medium,Yes,Yes
5.17,1932,35,2002,Bad,Yes,No
8.61,1820,38,1428,Medium,Yes,No
5.97,1568,24,1414,Medium,Yes,No
11.54,1876,44,1764,Good,Yes,Yes
7.5,1960,29,1274,Bad,Yes,No
7.38,1372,120,1302,Medium,No,No
7.81,1918,102,1652,Medium,No,Yes
5.99,1638,42,1694,Bad,Yes,Yes
8.43,1932,80,1764,Good,No,Yes
4.81,1694,68,2086,Good,Yes,No
8.97,1848,107,1750,Medium,No,No
6.88,1344,39,1568,Good,No,No
12.57,1848,102,1498,Good,Yes,Yes
9.32,1876,27,1344,Medium,No,Yes
8.64,1554,101,1274,Medium,No,Yes
10.44,1736,115,1470,Medium,No,Yes
13.44,1862,103,1708,Good,Yes,Yes
9.45,1498,67,1288,Medium,No,Yes
5.3,1862,31,2030,Medium,Yes,Yes
7.02,1820,100,2044,Good,Yes,No
3.58,1988,109,2296,Good,Yes,No
13.36,1442,73,1008,Medium,Yes,Yes
4.17,1722,96,1652,Bad,Yes,Yes
3.13,1820,62,1820,Bad,Yes,Yes
8.77,1652,86,1596,Good,No,Yes
8.68,1834,25,1456,Medium,No,Yes
5.25,1834,55,1540,Bad,Yes,Yes
10.26,1554,75,1512,Good,Yes,No
10.5,1708,21,1834,Good,Yes,Yes
6.53,2156,30,2268,Medium,No,No
5.98,1736,56,1876,Medium,No,Yes
14.37,1330,106,742,Good,Yes,No
10.71,1526,22,1106,Good,No,Yes
10.26,1890,100,1708,Medium,Yes,Yes
7.68,1764,41,1666,Bad,Yes,Yes
9.08,2128,81,1764,Medium,Yes,No
7.8,1694,50,1372,Medium,No,No
5.58,1918,71,1624,Medium,Yes,No
9.44,1834,47,1652,Medium,Yes,Yes
7.9,1848,46,1736,Medium,Yes,No
16.27,1974,60,1288,Good,Yes,Yes
6.81,1848,61,1750,Medium,No,No
6.11,1862,88,1666,Medium,Yes,Yes
5.81,1750,111,1498,Bad,Yes,No
9.64,1484,64,1246,Medium,Yes,Yes
3.9,1736,65,2114,Bad,Yes,Yes
4.95,1694,28,1694,Medium,Yes,Yes
9.35,1372,117,952,Medium,Yes,No
12.85,1722,37,1568,Good,Yes,Yes
5.87,1834,73,1848,Medium,Yes,Yes
5.32,2128,116,2240,Medium,Yes,No
8.67,1988,73,1610,Medium,No,Yes
8.14,1890,89,1092,Bad,Yes,Yes
8.44,1792,42,1498,Medium,Yes,Yes
5.47,1512,75,1554,Medium,Yes,Yes
6.1,2142,63,1736,Bad,Yes,No
4.53,1806,42,1820,Bad,Yes,Yes
5.57,1526,51,1680,Medium,No,Yes
5.35,1820,58,1946,Bad,Yes,Yes
12.57,1932,108,1792,Good,Yes,Yes
6.14,1946,23,1680,Medium,No,Yes
7.41,2268,26,2226,Medium,Yes,Yes
5.94,1400,79,1330,Bad,Yes,Yes
9.71,1876,37,1680,Good,Yes,Yes
